Complexity,Loss,Equation
1,2.1516871895188046,"0.6937466122202526"
5,1.2512680582642133,"(x8 + (x35 * -0.7964949362356409))"
7,0.11485456597116003,"((x8 * -1.8021658688555673) * (x43 + -2.2214504128299963))"
9,0.07394647365324318,"(((x8 * -1.8462305605751104) * (x16 + -2.3174128851933395)) + -0.43872462021060576)"
11,0.023265836493902757,"(((x8 * -2.236238317243664) + (x3 + 0.2483758068767764)) * (x16 + -2.2365831190943504))"
13,0.02157525974332748,"(((x8 * -2.236238317243664) + ((x3 * 1.1219574600048228) + 0.2483758068767764)) * (x16 + -2.2365831190943504))"
15,0.01778877278450682,"(((((((x8 + x47) + -0.1149766507002999) * -1.4866116942498733) + x16) + x7) + x30) * -3.5051013744555295)"
19,0.010523781414729908,"(((((((x8 + x38) + -0.11271606942232491) * -1.4988852835071913) + x16) + x6) + x3) * ((x3 + -2.464175003717272) * 1.5281895525197362))"
21,0.003542264181097503,"((((((((x8 + x31) + -0.12069485784454799) * -1.5007002777378942) + x16) + x35) + x3) * 1.1226206813829582) * ((x9 + -2.4551905720426563) * 1.588334697196905))"
